Significant	-Log(P-value)	Difference	PG.Genes	Symbol color	Symbol type	Symbol size	Show label	[1] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_hs_01.raw.PG.Quantity	[2] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_hs_02.raw.PG.Quantity	[3] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_hs_03.raw.PG.Quantity	[4] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_st_01.raw.PG.Quantity	[5] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_st_02.raw.PG.Quantity	[6] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_st_03.raw.PG.Quantity	[7] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_hs_01.raw.PG.Quantity	[8] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_hs_02.raw.PG.Quantity	[9] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_hs_03.raw.PG.Quantity	[10] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_st_01.raw.PG.Quantity	[11] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_st_02.raw.PG.Quantity	[12] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_st_03.raw.PG.Quantity	[13] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_hs_01.raw.PG.Quantity	[14] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_hs_02.raw.PG.Quantity	[15] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_hs_03.raw.PG.Quantity	[16] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_st_01.raw.PG.Quantity	[17] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_st_02.raw.PG.Quantity	[18] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_st_03.raw.PG.Quantity
	0	NaN	mdxE	Color2 [DarkGray]	1	4		14.0787477493286	13.6542711257935	14.3782272338867	17.1336288452148	16.9392185211182	17.0026054382324	NaN	NaN	NaN	16.0733890533447	16.7599811553955	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	0	NaN	yvdQ	Color2 [DarkGray]	1	4		16.8936595916748	17.2773132324219	16.7115459442139	18.4722194671631	18.6519889831543	18.5016899108887	18.7526950836182	18.7433757781982	18.6208534240723	18.0689487457275	18.1591682434082	18.8136882781982	NaN	NaN	NaN	16.0720081329346	16.2235260009766	16.1176834106445
	0	NaN	padC	Color2 [DarkGray]	1	4		19.4694080352783	19.5599842071533	19.3305549621582	14.1336679458618	13.8571395874023	13.8924026489258	20.4576511383057	20.5079097747803	20.1429443359375	NaN	NaN	NaN	16.1531887054443	16.8822650909424	17.2292594909668	NaN	NaN	NaN
	0	NaN	ganR	Color2 [DarkGray]	1	4		14.8763599395752	14.0329427719116	15.2513999938965	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	0	NaN	lutB	Color2 [DarkGray]	1	4		14.5089569091797	16.2805252075195	15.0877532958984	17.1210975646973	17.2263431549072	17.0821342468262	19.1070365905762	19.6173629760742	19.5548934936523	15.2466239929199	15.6758184432983	14.9794616699219	16.4750289916992	18.0879020690918	16.8555297851563	NaN	NaN	NaN
	0	NaN	hit	Color2 [DarkGray]	1	4		19.0524921417236	19.1220722198486	18.9587326049805	18.1440849304199	18.2528209686279	18.692699432373	19.1370124816895	18.8950214385986	18.9902572631836	14.7196931838989	13.3176460266113	11.7340860366821	17.5752563476563	17.4982566833496	17.4345169067383	NaN	NaN	NaN
+	3.46282561485774	7.04237842559815	yhaH	Color2 [DarkGray]	1	4		21.1655693054199	21.187105178833	20.6303024291992	19.9764518737793	20.047830581665	19.95263671875	19.9979648590088	20.5125751495361	20.4893321990967	19.8364753723145	19.7567958831787	20.0749340057373	18.285680770874	19.5184020996094	19.5412902832031	12.3506317138672	11.1705799102783	12.6970262527466
+	0.884203263311629	-0.607119242350258	yhaM	Color2 [DarkGray]	1	4		20.4411678314209	20.0910797119141	20.1790142059326	17.9156608581543	17.9447822570801	18.4495410919189	19.3233299255371	19.0781917572021	18.4635314941406	19.7410697937012	19.2976589202881	19.1444416046143	16.9595565795898	15.9767818450928	16.477689743042	17.2896842956543	16.7938575744629	17.1518440246582
	0	NaN	yhaP	Color2 [DarkGray]	1	4		20.2283325195313	20.4661903381348	21.5144119262695	18.8707637786865	18.7186622619629	19.4023342132568	20.7964916229248	20.9699554443359	21.0458488464355	18.1679306030273	18.3831062316895	19.4362888336182	NaN	NaN	NaN	NaN	NaN	NaN
+	2.7159300436706	-6.087051709493	yheA	Color2 [DarkGray]	1	4		17.4503879547119	18.5231075286865	18.2635555267334	19.1103401184082	18.6746768951416	18.5612087249756	19.9768657684326	19.6204261779785	20.0295906066895	NaN	NaN	NaN	15.7642784118652	15.0658369064331	16.6118450164795	20.4793338775635	22.5880641937256	22.6357173919678
